ubicacion,original,aumentado_antes_redondeo,nuevo
tabla#8:fila#6:col#4:p#1,"$ 6.665,00",7238.86,"$ 7.238,00"
tabla#8:fila#6:col#5:p#1,"$ 6.337,00",6882.62,"$ 6.882,00"
tabla#8:fila#6:col#6:p#1,"$ 5.536,00",6012.65,"$ 6.012,00"
tabla#8:fila#6:col#7:p#1,"$ 3.151,00",3422.30,"$ 3.422,00"
tabla#8:fila#7:col#4:p#1,"$ 14.044,00",15253.19,"$ 15.253,00"
tabla#8:fila#7:col#5:p#1,"$ 13.388,00",14540.71,"$ 14.540,00"
tabla#8:fila#7:col#6:p#1,"$ 11.695,00",12701.94,"$ 12.701,00"
tabla#8:fila#7:col#7:p#1,"$ 6.677,00",7251.89,"$ 7.251,00"
tabla#9:fila#1:col#2:p#1,"$ 24.336,00",26431.33,"$ 26.431,00"
tabla#9:fila#2:col#2:p#1,"$ 3.985,00",4328.11,"$ 4.328,00"
tabla#9:fila#3:col#2:p#1,"$ 24.336,00",26431.33,"$ 26.431,00"
tabla#9:fila#4:col#2:p#1,"$ 14.197,00",15419.36,"$ 15.419,00"
tabla#9:fila#5:col#2:p#1,"$ 19.881,00",21592.75,"$ 21.592,00"
tabla#9:fila#6:col#2:p#1,"$ 10.704,00",11625.61,"$ 11.625,00"
tabla#9:fila#7:col#2:p#1,"$ 13.689,00",14867.62,"$ 14.867,00"
tabla#10:fila#1:col#2:p#1,"$ 20.187,00",21925.10,"$ 21.925,00"
tabla#10:fila#2:col#2:p#1,"$ 104.367,00",113353.00,"$ 113.352,00"
tabla#10:fila#3:col#2:p#1,"$ 697,00",757.01,"$ 757,00"
tabla#10:fila#4:col#2:p#1,"$ 2.492,00",2706.56,"$ 2.706,00"
