ubicacion,original,aumentado_antes_redondeo,nuevo
tabla#1:fila#2:col#4:p#1,"$ 205.426,00",223113.18,"$ 223.113,00"
tabla#1:fila#3:col#4:p#1,"$ 422.891,00",459301.92,"$ 459.301,00"
tabla#1:fila#4:col#4:p#1,"$ 589.045,00",639761.77,"$ 639.761,00"
tabla#1:fila#5:col#4:p#1,"$ 484.259,00",525953.70,"$ 525.953,00"
tabla#1:fila#6:col#4:p#1,"$ 161.404,00",175300.88,"$ 175.300,00"
tabla#1:fila#7:col#4:p#1,"$ 273.336,00",296870.23,"$ 296.870,00"
tabla#1:fila#8:col#4:p#1,"$ 20.147,00",21881.66,"$ 21.881,00"
tabla#1:fila#9:col#4:p#1,"$ 1.227,00",1332.64,"$ 1.332,00"
